
 displacements (vx,vy,vz)

    1  0.0000E+00  0.0000E+00  0.0000E+00
    2  0.0000E+00  0.0000E+00  0.0000E+00
    3  0.0000E+00  0.0000E+00  0.0000E+00
    4  0.0000E+00  0.0000E+00  0.0000E+00
    5 -2.0437E-02  4.3844E+01  4.0903E+00
    6  2.0437E-02  4.3844E+01  4.0903E+00
    7 -2.0437E-02  4.3844E+01 -4.0903E+00
    8  2.0437E-02  4.3844E+01 -4.0903E+00
    9  0.0000E+00  0.0000E+00  0.0000E+00
   10  0.0000E+00  0.0000E+00  0.0000E+00
   11  0.0000E+00  0.0000E+00  0.0000E+00
   12  0.0000E+00  0.0000E+00  0.0000E+00
   13  0.0000E+00  0.0000E+00  0.0000E+00
   14  0.0000E+00  0.0000E+00  0.0000E+00
   15  0.0000E+00  0.0000E+00  0.0000E+00
   16  0.0000E+00  0.0000E+00  0.0000E+00
   17  0.0000E+00  0.0000E+00  0.0000E+00
   18  0.0000E+00  0.0000E+00  0.0000E+00
   19  0.0000E+00  0.0000E+00  0.0000E+00
   20  0.0000E+00  0.0000E+00  0.0000E+00
   21 -9.3375E-03  4.3801E+01  4.0864E+00
   22 -1.2926E-10  4.3797E+01  4.0778E+00
   23  9.3375E-03  4.3801E+01  4.0864E+00
   24  5.2910E-05  4.3811E+01  2.0318E+00
   25 -1.3143E-10  4.3788E+01  1.0941E-11
   26 -5.2910E-05  4.3811E+01 -2.0318E+00
   27 -9.3375E-03  4.3801E+01 -4.0864E+00
   28 -1.3358E-10  4.3797E+01 -4.0778E+00
   29  9.3375E-03  4.3801E+01 -4.0864E+00
   30  5.2910E-05  4.3811E+01 -2.0318E+00
   31 -1.3143E-10  4.3788E+01 -1.1377E-11
   32 -5.2910E-05  4.3811E+01  2.0318E+00
   33 -1.5435E-01  2.6899E-01  4.6295E-01
   34 -1.1252E-01  9.5991E-01  9.2727E-01
   35 -1.2709E-01  2.1600E+00  1.3632E+00
   36 -1.1217E-01  3.7416E+00  1.7662E+00
   37 -1.0663E-01  5.7345E+00  2.1335E+00
   38 -9.5462E-02  8.0638E+00  2.4716E+00
   39 -8.6947E-02  1.0724E+01  2.7766E+00
   40 -7.6882E-02  1.3668E+01  3.0504E+00
   41 -6.7615E-02  1.6872E+01  3.2909E+00
